"filename", "language", "HTML", "Go", "JavaScript", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-PTGZ.html", "HTML", 114, 0, 0, 0, 0, 0, 7, 8, 129
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-SSFW.html", "HTML", 106, 0, 0, 0, 0, 0, 12, 11, 129
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-WLJR.html", "HTML", 107, 0, 0, 0, 0, 0, 6, 11, 124
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\idc.ssetech.com.cn\page-cpjs-contactus.html", "HTML", 155, 0, 0, 0, 0, 0, 9, 17, 181
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\m.uap.sse.com.cn\app\ezt\public\download.html", "HTML", 338, 0, 0, 0, 0, 0, 1, 17, 356
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\sjsjs.zhaopin.com\index.html", "HTML", 59, 0, 0, 0, 0, 0, 11, 2, 72
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\vip.liepin.com\8684881\main.html", "HTML", 168, 0, 0, 0, 0, 0, 16, 0, 184
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.chinaclear.cn\index.html", "HTML", 868, 0, 0, 0, 0, 0, 30, 274, 1172
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.csrc.gov.cn\index.html", "HTML", 58, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.sac.net.cn\index.html", "HTML", 2031, 0, 0, 0, 0, 0, 412, 163, 2606
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.sse.com.cn\index.html", "HTML", 1046, 0, 0, 0, 0, 0, 42, 128, 1216
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\index.html", "HTML", 1497, 0, 0, 0, 0, 0, 164, 21, 1682
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\DCExchangeDetails\index.html", "HTML", 918, 0, 0, 0, 0, 0, 13, 9, 940
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\LANCircuitDetails\index.html", "HTML", 854, 0, 0, 0, 0, 0, 12, 13, 879
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\WANSharingDetails\index.html", "HTML", 944, 0, 0, 0, 0, 0, 13, 9, 966
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\ZTCloud\index.html", "HTML", 953, 0, 0, 0, 0, 0, 13, 8, 974
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\css\app.css", "CSS", 0, 0, 0, 2449, 0, 0, 62, 17, 2528
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\css\style.css", "CSS", 0, 0, 0, 1782, 0, 0, 57, 31, 1870
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\css\swipeslider.css", "CSS", 0, 0, 0, 130, 0, 0, 0, 4, 134
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\css\web.css", "CSS", 0, 0, 0, 750, 0, 0, 25, 4, 779
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\base.js", "JavaScript", 0, 0, 60, 0, 0, 0, 8, 4, 72
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\hqHome.js", "JavaScript", 0, 0, 584, 0, 0, 0, 3, 2, 589
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\hq_home_highstock.js", "JavaScript", 0, 0, 407, 0, 0, 0, 0, 1, 408
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\index-swiper.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\jquery.cookie.js", "JavaScript", 0, 0, 72, 0, 0, 0, 15, 24, 111
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\jquery.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\jquery.placeholder.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\main.js", "JavaScript", 0, 0, 104, 0, 0, 0, 8, 0, 112
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\spark-md5.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\js\swipeslider.js", "JavaScript", 0, 0, 240, 0, 0, 0, 154, 58, 452
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\mobile\js\jquery-weui.min.js", "JavaScript", 0, 0, 4, 0, 0, 0, 9, 0, 13
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\mobile\lib\fastclick.js", "JavaScript", 0, 0, 400, 0, 0, 0, 277, 165, 842
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\owl-carousel\owl.carousel.css", "CSS", 0, 0, 0, 58, 0, 0, 8, 6, 72
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\owl-carousel\owl.carousel.js", "JavaScript", 0, 0, 1288, 0, 0, 0, 8, 206, 1502
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\assets\owl-carousel\owl.theme.css", "CSS", 0, 0, 0, 60, 0, 0, 10, 9, 79
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\bgpServiceIntro\index.html", "HTML", 956, 0, 0, 0, 0, 0, 13, 8, 977
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\brandIntd\index.html", "HTML", 757, 0, 0, 0, 0, 0, 12, 14, 783
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\broadBandDetails\index.html", "HTML", 846, 0, 0, 0, 0, 0, 12, 12, 870
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\broadbandIntd\index.html", "HTML", 971, 0, 0, 0, 0, 0, 13, 9, 993
"c:\Users\wangx\go\src\github.com\pantskun\golearn\CrawlerDemo\download\www.ssetech.com.cn\statics\cloudTechDetails\index.html", "HTML", 831, 0, 0, 0, 0, 0, 22, 13, 866
